id,preferred_name,protein_size,annotation
9685.ENSFCAP00000000246,NR4A1,598,Nuclear receptor subfamily 4 group A member 1.
9685.ENSFCAP00000000248,KRT7,470,Keratin 7; Belongs to the intermediate filament family.
9685.ENSFCAP00000000252,LOC101094969,394,Uncharacterized protein.
9685.ENSFCAP00000000254,HAAO,286,3-hydroxyanthranilate 3,4-dioxygenase; Catalyzes the oxidative ring opening of 3-hydroxyanthranilate to 2-amino-3-carboxymuconate semialdehyde, which spontaneously cyclizes to quinolinate; Belongs to the 3-HAO family.
9685.ENSFCAP00000000255,LOC101096995,478,IF rod domain-containing protein; Belongs to the intermediate filament family.
9685.ENSFCAP00000000257,NAP1L1,391,Nucleosome assembly protein 1 like 1; Belongs to the nucleosome assembly protein (NAP) family.
9685.ENSFCAP00000000258,KRT82,518,Keratin 82; Belongs to the intermediate filament family.
9685.ENSFCAP00000000259,PVR,380,PVR cell adhesion molecule.
9685.ENSFCAP00000000260,KRT84,601,Keratin 84; Belongs to the intermediate filament family.
9685.ENSFCAP00000000261,CEACAM19,264,Carcinoembryonic antigen related cell adhesion molecule 19.
9685.ENSFCAP00000000262,KRT74,590,IF rod domain-containing protein; Belongs to the intermediate filament family.
9685.ENSFCAP00000000267,LOC101097497,485,IF rod domain-containing protein; Belongs to the intermediate filament family.
9685.ENSFCAP00000000270,KRT76,626,Keratin 76; Belongs to the intermediate filament family.
9685.ENSFCAP00000000271,KRT3,627,Keratin 3; Belongs to the intermediate filament family.
9685.ENSFCAP00000000273,KRT79,529,Keratin 79; Belongs to the intermediate filament family.
9685.ENSFCAP00000000274,KRT78,518,Keratin 78; Belongs to the intermediate filament family.
9685.ENSFCAP00000000276,KRT18,430,Keratin 18; Belongs to the intermediate filament family.
9685.ENSFCAP00000000280,TNS2,1409,Tensin 2.
9685.ENSFCAP00000000282,IGFBP6,268,Insulin like growth factor binding protein 6.
9685.ENSFCAP00000000285,EIF3M,374,Eukaryotic translation initiation factor 3 subunit M; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF- 2:GTP:methionyl-tRNAi and eIF-5 to form the 43S pre-initiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribos [...] 
9685.ENSFCAP00000000287,GPRIN2,693,G protein regulated inducer of neurite outgrowth 2.
9685.ENSFCAP00000000288,LOC101097531,109,Uncharacterized protein; Belongs to the parvalbumin family.
9685.ENSFCAP00000000292,OAS1,401,2'-5'-oligoadenylate synthetase 1.
9685.ENSFCAP00000000293,OAS3,1087,2'-5'-oligoadenylate synthetase 3.
9685.ENSFCAP00000000294,OAS2,708,2'-5'-oligoadenylate synthetase 2.
9685.ENSFCAP00000000298,POLD1,1107,DNA polymerase.
9685.ENSFCAP00000000303,MYBPC2,1140,Myosin binding protein C, fast type.
9685.ENSFCAP00000000305,FAM71E1,213,Family with sequence similarity 71 member E1.
9685.ENSFCAP00000000306,EMC10,262,ER membrane protein complex subunit 10.
9685.ENSFCAP00000000309,CHRM1,460,Muscarinic acetylcholine receptor; The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins.
9685.ENSFCAP00000000310,SAR1B,198,Secretion associated Ras related GTPase 1B; Belongs to the small GTPase superfamily. SAR1 family.
9685.ENSFCAP00000000314,SERINC3,473,Serine incorporator 3.
9685.ENSFCAP00000000315,CYP1A2,512,Cytochrome P450 1A2; A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins. Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the hydroxylation of carbon-hydrogen bonds. Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2-hydroxy E1 and E [...] 
9685.ENSFCAP00000000319,CDC73,531,Cell division cycle 73.
9685.ENSFCAP00000000320,BCL9,1340,BCL9 transcription coactivator.
9685.ENSFCAP00000000322,GJA5,358,Gap junction protein; One gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell.
9685.ENSFCAP00000000323,LMAN1L,527,Lectin, mannose binding 1 like.
9685.ENSFCAP00000000326,ZFR,1073,Zinc finger RNA binding protein.
9685.ENSFCAP00000000328,MAP3K4,1599,Mitogen-activated protein kinase kinase kinase 4.
9685.ENSFCAP00000000331,CDH6,790,Cadherin 6; Cadherins are calcium-dependent cell adhesion proteins.
9685.ENSFCAP00000000340,CIB4,185,Calcium and integrin binding family member 4.
9685.ENSFCAP00000000341,AREG,323,Amphiregulin.
9685.ENSFCAP00000000354,NTSR1,418,Neurotensin receptor 1; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000000357,SMCO2,340,Single-pass membrane protein with coiled-coil domains 2.
9685.ENSFCAP00000000358,EDF1,148,Endothelial differentiation related factor 1.
9685.ENSFCAP00000000359,TRAF2,523,TNF receptor-associated factor; Belongs to the TNF receptor-associated factor family.
9685.ENSFCAP00000000361,FBXW5,794,F-box and WD repeat domain containing 5.
9685.ENSFCAP00000000362,C8G,202,Complement C8 gamma chain; Belongs to the calycin superfamily. Lipocalin family.
9685.ENSFCAP00000000363,PTGDS,364,Prostaglandin-H2 D-isomerase; Catalyzes the conversion of PGH2 to PGD2, a prostaglandin involved in smooth muscle contraction/relaxation and a potent inhibitor of platelet aggregation. Involved in a variety of CNS functions, such as sedation, NREM sleep and PGE2-induced allodynia, and may have an anti-apoptotic role in oligodendrocytes. Binds small non-substrate lipophilic molecules, including biliverdin, bilirubin, retinal, retinoic acid and thyroid hormone, and may act as a scavenger for harmful hydrophobic molecules and as a secretory retinoid and thyroid hormone transporter. Possib [...] 
9685.ENSFCAP00000000368,NPDC1,321,Neural proliferation, differentiation and control 1.
9685.ENSFCAP00000000369,ENTPD2,495,Ectonucleoside triphosphate diphosphohydrolase 2; Belongs to the GDA1/CD39 NTPase family.
9685.ENSFCAP00000000370,AMPD3,777,AMP deaminase; Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family.
9685.ENSFCAP00000000371,UAP1L1,516,UDP-N-acetylglucosamine pyrophosphorylase 1 like 1.
9685.ENSFCAP00000000373,LYVE1,323,Lymphatic vessel endothelial hyaluronan receptor 1.
9685.ENSFCAP00000000374,MRVI1,860,Murine retrovirus integration site 1 homolog.
9685.ENSFCAP00000000376,CCDC89,375,Coiled-coil domain containing 89.
9685.ENSFCAP00000000377,CTR9,1173,CTR9 homolog, Paf1/RNA polymerase II complex component.
9685.ENSFCAP00000000378,ZBED5,694,Zinc finger BED-type containing 5.
9685.ENSFCAP00000000382,BFAR,450,Bifunctional apoptosis regulator.
9685.ENSFCAP00000000384,SPO11,396,SPO11 initiator of meiotic double stranded breaks.
9685.ENSFCAP00000000387,PCK1,622,Phosphoenolpyruvate carboxykinase 1.
9685.ENSFCAP00000000392,RAB9B,201,RAB9B, member RAS oncogene family.
9685.ENSFCAP00000000401,STK10,967,Serine/threonine kinase 10.
9685.ENSFCAP00000000404,GNS,553,N-acetylglucosamine-6-sulfatase; Belongs to the sulfatase family.
9685.ENSFCAP00000000407,GLDC,1019,Glycine cleavage system P protein; The glycine cleavage system catalyzes the degradation of glycine.
9685.ENSFCAP00000000409,CSRP1,247,Cysteine and glycine rich protein 1.
9685.ENSFCAP00000000412,SHISA4,195,Shisa family member 4.
9685.ENSFCAP00000000413,LMOD1,579,Leiomodin 1.
9685.ENSFCAP00000000415,RNPEP,650,Arginyl aminopeptidase.
9685.ENSFCAP00000000416,ELF3,370,E74 like ETS transcription factor 3.
9685.ENSFCAP00000000417,GPR37L1,551,G protein-coupled receptor 37 like 1.
9685.ENSFCAP00000000419,UBE2T,189,Ubiquitin conjugating enzyme E2 T; Belongs to the ubiquitin-conjugating enzyme family.
9685.ENSFCAP00000000422,HNRNPDL,420,Heterogeneous nuclear ribonucleoprotein D like.
9685.ENSFCAP00000000429,WDR83OS,106,WD repeat domain 83 opposite strand.
9685.ENSFCAP00000000431,DHPS,369,Deoxyhypusine synthase.
9685.ENSFCAP00000000433,TNPO2,896,Transportin 2.
9685.ENSFCAP00000000434,GET3,348,ATPase GET3; ATPase required for the post-translational delivery of tail- anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail-anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. S [...] 
9685.ENSFCAP00000000436,BEST2,507,Bestrophin; Forms calcium-sensitive chloride channels. Permeable to bicarbonate; Belongs to the bestrophin family.
9685.ENSFCAP00000000438,PRDX2,198,Peroxiredoxin 2.
9685.ENSFCAP00000000439,RNASEH2A,299,Ribonuclease; Endonuclease that specifically degrades the RNA of RNA-DNA hybrids; Belongs to the RNase HII family.
9685.ENSFCAP00000000441,DNASE2,359,Deoxyribonuclease 2, lysosomal.
9685.ENSFCAP00000000442,GCDH,438,Glutaryl-CoA dehydrogenase.
9685.ENSFCAP00000000444,CALR,417,Calreticulin.
9685.ENSFCAP00000000446,NFIX,502,Nuclear factor 1; Recognizes and binds the palindromic sequence 5'- TTGGCNNNNNGCCAA-3' present in viral and cellular promoters and in the origin of replication of adenovirus type 2. These proteins are individually capable of activating transcription and replication.
9685.ENSFCAP00000000447,LYL1,134,BHLH domain-containing protein.
9685.ENSFCAP00000000448,TRMT1,659,tRNA (guanine(26)-N(2))-dimethyltransferase.
9685.ENSFCAP00000000449,STX10,249,Syntaxin 10; Belongs to the syntaxin family.
9685.ENSFCAP00000000450,IER2,223,Immediate early response 2.
9685.ENSFCAP00000000452,MYL6,161,Myosin light chain 6.
9685.ENSFCAP00000000467,NME6,193,Nucleoside diphosphate kinase.
9685.ENSFCAP00000000475,CCDC88B,1533,Coiled-coil domain containing 88B.
9685.ENSFCAP00000000476,RPS6KA4,771,Ribosomal protein S6 kinase.
9685.ENSFCAP00000000481,RIOK3,519,Serine/threonine-protein kinase RIO3; Involved in regulation of type I interferon (IFN)-dependent immune response which plays a critical role in the innate immune response against DNA and RNA viruses.
9685.ENSFCAP00000000482,RMC1,657,Regulator of MON1-CCZ1.
9685.ENSFCAP00000000490,CDK15,435,Cyclin dependent kinase 15; Belongs to the protein kinase superfamily.
9685.ENSFCAP00000000492,ZBTB47,293,Zinc finger and BTB domain containing 47.
9685.ENSFCAP00000000494,CREBRF,639,CREB3 regulatory factor.
9685.ENSFCAP00000000498,NKX2-5,333,NK2 homeobox 5.
9685.ENSFCAP00000000503,C1QB,254,Complement C1q B chain.
9685.ENSFCAP00000000505,CRB1,1405,Crumbs cell polarity complex component 1.
9685.ENSFCAP00000000511,OR5M8,306,Olfactory receptor.
9685.ENSFCAP00000000512,TSPAN1,241,Tetraspanin.
9685.ENSFCAP00000000513,POMGNT1,660,Protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-).
9685.ENSFCAP00000000516,PARP9,828,Poly(ADP-ribose) polymerase family member 9.
9685.ENSFCAP00000000518,WNT9B,356,Protein Wnt; Ligand for members of the frizzled family of seven transmembrane receptors; Belongs to the Wnt family.
9685.ENSFCAP00000000520,PRTFDC1,225,Hypoxanthine phosphoribosyltransferase; Belongs to the purine/pyrimidine phosphoribosyltransferase family.
9685.ENSFCAP00000000525,CTDP1,939,RNA polymerase II subunit A C-terminal domain phosphatase; This promotes the activity of RNA polymerase II.
9685.ENSFCAP00000000526,SLC66A2,271,Solute carrier family 66 member 2.
9685.ENSFCAP00000000529,C3orf49,294,Chromosome 3 open reading frame 49.
9685.ENSFCAP00000000532,PSMD6,478,Proteasome 26S subunit, non-ATPase 6.
9685.ENSFCAP00000000534,CPN1,492,ER lipid raft associated 1.
9685.ENSFCAP00000000535,DHRS3,302,Dehydrogenase/reductase 3; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
9685.ENSFCAP00000000539,LRRC38,297,Leucine rich repeat containing 38.
9685.ENSFCAP00000000542,TUBAL3,446,Tubulin alpha chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.
9685.ENSFCAP00000000545,ELOVL5,299,Elongation of very long chain fatty acids protein 5; Catalyzes the first and rate-limiting reaction of the four reactions that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids (VLCFAs) per cycle. Condensing enzyme that acts specifically toward polyunsaturated acyl-CoA with the higher activity toward C18:3(n-6) acyl-CoA. May participate to the production of monounsaturated and of polyunsaturated VLCFAs of different chain lengths that are involv [...] 
9685.ENSFCAP00000000546,LOC101097969,752,Uncharacterized protein.
9685.ENSFCAP00000000549,CNOT7,285,CCR4-NOT transcription complex subunit 7.
9685.ENSFCAP00000000552,CNOT8,292,CCR4-NOT transcription complex subunit 8.
9685.ENSFCAP00000000553,GEMIN5,1508,Gem nuclear organelle associated protein 5.
9685.ENSFCAP00000000555,POR,715,NADPH--cytochrome P450 reductase; This enzyme is required for electron transfer from NADP to cytochrome P450 in microsomes. It can also provide electron transfer to heme oxygenase and cytochrome B5; In the C-terminal section; belongs to the flavoprotein pyridine nucleotide cytochrome reductase family.
9685.ENSFCAP00000000558,MDH2,338,Malate dehydrogenase, mitochondrial; Belongs to the LDH/MDH superfamily. MDH type 1 family.
9685.ENSFCAP00000000562,PIH1D2,338,PIH1 domain containing 2.
9685.ENSFCAP00000000563,SERBP1,407,SERPINE1 mRNA binding protein 1.
9685.ENSFCAP00000000566,LOC101100279,413,Ig-like domain-containing protein.
9685.ENSFCAP00000000567,PHF8,1024,PHD finger protein 8.
9685.ENSFCAP00000000568,SLC3A1,681,Solute carrier family 3 member 1.
9685.ENSFCAP00000000569,PREPL,727,Prolyl endopeptidase like.
9685.ENSFCAP00000000575,FBXW7,749,F-box and WD repeat domain containing 7.
9685.ENSFCAP00000000576,BRAP,592,BRCA1 associated protein.
9685.ENSFCAP00000000587,AFAP1L2,810,Actin filament associated protein 1 like 2.
9685.ENSFCAP00000000589,PMPCB,489,Peptidase, mitochondrial processing beta subunit; Belongs to the peptidase M16 family.
9685.ENSFCAP00000000591,PSMC2,433,Proteasome 26S subunit, ATPase 2; Belongs to the AAA ATPase family.
9685.ENSFCAP00000000593,CSN2,223,Beta-casein; Important role in determination of the surface properties of the casein micelles.
9685.ENSFCAP00000000596,PHF19,548,PHD finger protein 19.
9685.ENSFCAP00000000599,C5,1680,Complement C5.
9685.ENSFCAP00000000600,SCN9A,1987,Sodium channel protein; Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.
9685.ENSFCAP00000000602,CNTN4,1026,Contactin 4.
9685.ENSFCAP00000000603,SENP8,212,SUMO peptidase family member, NEDD8 specific.
9685.ENSFCAP00000000604,IL5RA,420,Interleukin 5 receptor subunit alpha.
9685.ENSFCAP00000000605,GRAMD2A,356,GRAM domain containing 2A.
9685.ENSFCAP00000000608,TMEM202,272,Transmembrane protein 202.
9685.ENSFCAP00000000609,PLEKHG5,1132,Pleckstrin homology and RhoGEF domain containing G5.
9685.ENSFCAP00000000610,NOL9,689,Nucleolar protein 9.
9685.ENSFCAP00000000611,TAS1R1,841,Taste 1 receptor member 1.
9685.ENSFCAP00000000612,ZBTB48,688,Zinc finger and BTB domain containing 48.
9685.ENSFCAP00000000614,THAP3,229,THAP domain containing 3.
9685.ENSFCAP00000000615,DNAJC11,559,DnaJ heat shock protein family (Hsp40) member C11.
9685.ENSFCAP00000000616,CTIF,616,Cap binding complex dependent translation initiation factor.
9685.ENSFCAP00000000620,TMEM100,134,Transmembrane protein 100.
9685.ENSFCAP00000000623,MID2,735,Midline 2.
9685.ENSFCAP00000000633,CCDC171,1331,Coiled-coil domain containing 171.
9685.ENSFCAP00000000640,CRIP2,208,Cysteine rich protein 2.
9685.ENSFCAP00000000643,PLAAT1,242,Phospholipase A and acyltransferase 1.
9685.ENSFCAP00000000644,ATP13A5,1219,Cation-transporting ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type V subfamily.
9685.ENSFCAP00000000648,ZNF292,2724,Zinc finger protein 292.
9685.ENSFCAP00000000649,CB4H12orf29,416,Chromosome B4 C12orf29 homolog.
9685.ENSFCAP00000000650,ZBTB8OS,179,Zinc finger and BTB domain containing 8 opposite strand.
9685.ENSFCAP00000000654,YARS1,515,Tyrosine--tRNA ligase.
9685.ENSFCAP00000000656,PHF20L1,1022,PHD finger protein 20 like 1.
9685.ENSFCAP00000000662,SH2D4B,400,SH2 domain containing 4B.
9685.ENSFCAP00000000663,CRNKL1,687,Crooked neck pre-mRNA splicing factor 1.
9685.ENSFCAP00000000664,CFAP61,1237,Cilia and flagella associated protein 61.
9685.ENSFCAP00000000665,AGTR1,393,Angiotensin II receptor type 1; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000000672,DNAJB12,478,DnaJ heat shock protein family (Hsp40) member B12.
9685.ENSFCAP00000000674,LOC101089140,313,Olfactory receptor.
9685.ENSFCAP00000000682,ARL8B,186,ADP ribosylation factor like GTPase 8B; Belongs to the small GTPase superfamily. Arf family.
9685.ENSFCAP00000000683,EDEM1,653,alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.
9685.ENSFCAP00000000685,DNMT3L,157,Uncharacterized protein.
9685.ENSFCAP00000000687,TBC1D22B,590,TBC1 domain family member 22B.
9685.ENSFCAP00000000692,AGO1,857,Argonaute RISC component 1; Belongs to the argonaute family.
9685.ENSFCAP00000000694,XYLT1,952,Xylosyltransferase 1.
9685.ENSFCAP00000000695,VPS13A,3172,Vacuolar protein sorting 13 homolog A.
9685.ENSFCAP00000000699,DDX18,753,RNA helicase.
9685.ENSFCAP00000000700,ADAMTSL4,1061,ADAMTS like 4.
9685.ENSFCAP00000000705,IRS4,1251,Insulin receptor substrate 4.
9685.ENSFCAP00000000709,MBD3,301,Methyl-CpG binding domain protein 3.
9685.ENSFCAP00000000714,DNAH6,4155,Dynein axonemal heavy chain 6.
9685.ENSFCAP00000000716,TRABD2A,508,TraB domain containing 2A.
9685.ENSFCAP00000000719,AP3M1,431,AP-3 complex subunit mu-1; Part of the AP-3 complex, an adaptor-related complex which is not clathrin-associated. The complex is associated with the Golgi region as well as more peripheral structures. It facilitates the budding of vesicles from the Golgi membrane and may be directly involved in trafficking to lysosomes; Belongs to the adaptor complexes medium subunit family.
9685.ENSFCAP00000000720,TBXT,435,T-box transcription factor T.
9685.ENSFCAP00000000723,LPCAT1,533,Lysophosphatidylcholine acyltransferase 1.
9685.ENSFCAP00000000724,STRN4,817,Striatin 4.
9685.ENSFCAP00000000730,BMPER,685,BMP binding endothelial regulator.
